EVI_train,NBR_train,NDVI_change,NDVI_test,NDVI_train,NIR_train,RED_train,SWIR_test,SWIR_train,VH_VV_ratio,VH_test,VH_train,VV_test,VV_train,aspect,elevation,label,slope
0.28340396,0.26437345,0.009677317,0.4709864,0.46130908,0.2573,0.09485,0.26875,0.2301,1.6646744,-16.665329,-15.552643,-10.535136,-9.342754,338.18118,1458.0,1,4.9827
0.34198135,0.28342116,0.14662285,0.6937425,0.5471196,0.26185,0.07665,0.2119,0.23855,1.6668023,-14.588499,-16.907965,-8.606194,-10.143953,33.713333,1451.0,1,3.3412292
0.42889747,0.4751926,-0.21170518,0.49276274,0.70446795,0.256075,0.0444,0.246,0.17489167,1.759894,-17.111042,-14.796336,-10.847855,-8.407516,314.97482,1448.0,1,1.3120176
0.3828744,0.39211482,-0.14372365,0.47360176,0.6173254,0.24893333,0.0589,0.24343333,0.19816,1.7665436,-16.701027,-14.846931,-10.518816,-8.404509,53.15425,1449.0,1,4.6299586
0.33070323,0.25913438,-0.14639671,0.42113304,0.56752974,0.224,0.0618,0.28415,0.2138,1.6486195,-17.0903,-15.08913,-10.565179,-9.152585,-0.0,1467.0,1,4.6273675
0.34337398,0.3024602,-0.19215478,0.40245897,0.59461373,0.225,0.0572,0.2959,0.1969,1.6745621,-18.040623,-15.030149,-11.619628,-8.97557,330.23352,1458.0,1,7.437229
0.34458312,0.2920943,-0.20339486,0.38501093,0.5884058,0.2329,0.06035,0.29746667,0.2104,1.6881768,-17.633415,-15.550894,-11.780325,-9.21165,350.52954,1450.0,1,5.6237116
0.39335123,0.35327312,-0.2502677,0.4180029,0.66827065,0.2398,0.047683332,0.279625,0.1957,1.6846627,-17.944498,-15.084158,-12.000029,-8.9538145,348.68042,1453.0,1,4.7187557
0.34688348,0.30092254,-0.24921924,0.36214715,0.6113664,0.2221,0.05356667,0.2814,0.1969,1.6342398,-18.727354,-15.41166,-12.301235,-9.430477,26.585098,1450.0,1,2.0733902
0.34151423,0.3145489,-0.17110007,0.40320233,0.5743024,0.2426,0.0656,0.2758,0.21756667,1.689316,-17.33576,-15.155865,-11.324345,-8.971598,66.819534,1458.0,1,7.033239
0.31941175,0.24375585,-0.14974874,0.4017341,0.55148286,0.2328,0.0673,0.284,0.22155,1.6523458,-17.105518,-15.337687,-11.701788,-9.282371,51.36462,1454.0,1,5.9208407
0.36782345,0.289594,-0.18518682,0.437276,0.6224628,0.2398,0.0558,0.2869,0.2157,1.6314702,-17.363127,-14.929272,-11.560064,-9.150808,51.364613,1452.0,1,5.9208403
0.37789148,0.33858266,-0.18755454,0.41269648,0.600251,0.255,0.0637,0.29715,0.2191,1.5915271,-17.44423,-15.276118,-11.687618,-9.598402,-0.0,1445.0,1,4.6273675
0.3377193,0.3318451,-0.17857076,0.40962365,0.58819443,0.2287,0.0593,0.2853,0.2018,1.6975932,-17.624624,-15.010137,-11.242941,-8.8420105,45.025036,1455.0,1,7.8244567
0.41159248,0.40058503,-0.15065916,0.500161,0.6508202,0.26333332,0.0557,0.2767,0.2038,1.7264827,-16.558168,-14.847413,-10.556323,-8.599804,38.684235,1448.0,1,5.9197125
0.2957938,0.20866905,-0.11198648,0.3863102,0.49829668,0.2419,0.081,0.30375,0.23895,1.6124161,-17.984959,-15.692017,-12.287015,-9.73199,338.18134,1442.0,1,4.9826946
0.34722316,0.2744491,-0.13566051,0.45515558,0.5908161,0.23326667,0.06,0.2762,0.21695,1.6541756,-17.219088,-15.26791,-11.01622,-9.22992,288.41986,1451.0,1,5.8501916
0.40849173,0.44221362,-0.21853073,0.4639416,0.68247235,0.24453333,0.04615,0.24885,0.17215,1.6905239,-17.062967,-14.409076,-10.39256,-8.523438,56.33314,1444.0,1,3.3423529
0.41444847,0.4378038,-0.19739138,0.4786086,0.676,0.2514,0.0486,0.2372,0.1759,1.6783583,-16.793041,-14.624009,-10.207688,-8.713282,36.894035,1441.0,1,4.628824
0.31996617,0.26133364,-0.014790483,0.4788219,0.4936124,0.27475,0.09315,0.2927,0.25455,1.5646636,-17.203724,-16.082035,-11.599175,-10.27827,314.97485,1439.0,1,3.9305606
0.28198874,0.1928617,-0.078415446,0.4026323,0.48104772,0.23395,0.081975,0.2815,0.24015,1.6279731,-17.846336,-16.529064,-12.533246,-10.153156,279.4542,1421.0,1,5.6283364
0.33666185,0.28499997,-0.13051492,0.41326043,0.5437754,0.257,0.07595,0.28593335,0.24133334,1.63858,-16.454327,-15.843316,-10.460156,-9.66893,18.449978,1436.0,1,2.930682
0.30484885,0.24216408,-0.12226515,0.38872018,0.5109854,0.24471667,0.0792,0.27175,0.23996666,1.6329873,-16.346148,-15.465734,-10.457526,-9.470823,-0.0,1434.0,1,4.6273675
0.34989974,0.22773434,-0.1773153,0.3651396,0.5424549,0.26295,0.078,0.2798,0.2576,1.6412951,-18.699982,-16.347134,-12.730801,-9.9599,285.9322,1412.0,1,6.726617
0.2747998,0.18507235,-0.011809441,0.4519723,0.46378174,0.2334,0.0855,0.2681,0.2477,1.6919223,-16.03185,-16.223309,-10.088683,-9.588684,333.41492,1429.0,1,4.141363
0.25020036,0.19614625,-0.0058423444,0.4157666,0.42160892,0.2421,0.0985,0.283225,0.2544,1.5836962,-16.418129,-16.6709,-10.623661,-10.526577,303.667,1424.0,1,3.3423421
0.2839397,0.2089132,-0.020233912,0.4460841,0.466318,0.25046667,0.09116,0.30185,0.24785833,1.6013848,-16.466753,-15.98576,-10.806606,-9.98246,-0.0,1419.0,1,1.8543341
0.3190876,0.24750088,-0.023435958,0.49622366,0.51965964,0.25895,0.08185,0.2852,0.23460834,1.5568713,-16.275446,-16.101948,-11.008054,-10.342504,333.41498,1407.0,1,4.1413617
0.2843086,0.2128448,-0.028207367,0.43417296,0.46238035,0.257775,0.09476667,0.29582,0.2402225,1.5903116,-16.665174,-16.472023,-11.280803,-10.357733,329.01422,1409.0,1,5.3934164
0.2667243,0.17151554,0.001473472,0.45294774,0.45147425,0.2406,0.090925,0.288175,0.236925,1.6586193,-16.250553,-16.537153,-11.113359,-9.970433,296.54507,1411.0,1,4.14352
0.3043631,0.20711891,-0.06725987,0.45320797,0.5204678,0.234,0.0738,0.30075,0.23326667,1.6517394,-17.51705,-16.17675,-11.980624,-9.793766,-0.0,1405.0,1,6.464861
0.3040774,0.23385304,-0.022104992,0.46538854,0.48749354,0.26315,0.09066667,0.2981,0.2444,1.5830765,-16.714594,-16.09803,-10.973095,-10.168827,323.10614,1405.0,1,4.6288133
0.3120116,0.22525813,-0.09820557,0.40310827,0.50131387,0.2571,0.0854,0.3056,0.249125,1.6289616,-16.842413,-16.540136,-11.863663,-10.153791,8.137091,1400.0,1,6.5300446
0.318403,0.21172398,-0.13451943,0.37891895,0.51343834,0.24495,0.07875,0.2832,0.248025,1.5953856,-16.80831,-15.421086,-10.78825,-9.666057,284.0245,1417.0,1,3.8216016
