system:index,EVI_train,NBR_train,NDVI_change,NDVI_test,NDVI_train,NIR_train,RED_train,SWIR_test,SWIR_train,VH_VV_ratio,VH_test,VH_train,VV_test,VV_train,aspect,elevation,label,slope,.geo
1_0_0,0.49960464,0.46560428,0.0741929,0.7866106,0.71241766,0.3012,0.050583333,0.18583333,0.1997,2.3582823,-11.891571,-11.968666,-5.054577,-5.075162,99.45001,2750.0,1,16.477184,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.865160782734733,-2.949752982699067]}"
1_1_0,0.4335256,0.4392855,0.10379527,0.77117205,0.66737676,0.27395,0.05465,0.17295,0.191375,2.5148244,-12.077712,-11.841357,-5.413884,-4.708622,104.01839,2729.0,1,7.612717,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.86650825566091,-2.9492139935285953]}"
1_2_0,0.40790665,0.33948922,0.10967521,0.73914367,0.62946844,0.26836666,0.061025,0.1922,0.21696667,2.3399873,-11.392639,-11.536244,-5.3525224,-4.9300456,100.770355,2754.0,1,19.111088,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.86543027731997,-2.9489444989433595]}"
1_3_0,0.46375352,0.4398582,0.063385494,0.7660356,0.7026501,0.2843,0.04965,0.1795,0.1913,1.958728,-12.834738,-12.5755205,-6.2628794,-6.4202485,131.9495,2747.0,1,12.294989,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.867047244831383,-2.947866520602416]}"
1_4_0,0.44472942,0.50852793,0.00833882,0.6886574,0.6803186,0.28745,0.0546875,0.1597,0.161,1.7968255,-13.905469,-14.429147,-8.948189,-8.0303545,134.96216,2654.0,1,1.312308,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.85626746142195,-2.94436309099435]}"
1_5_0,0.37843156,0.42637643,-0.00803794,0.61429214,0.62233007,0.25065,0.05835,0.17365,0.17845,1.5523779,-15.845101,-16.640224,-10.457204,-10.719184,90.0,2656.0,1,0.92863476,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.855728472251478,-2.9432851126534065]}"
1_6_0,0.37352034,0.42451012,0.046659637,0.64682084,0.6001612,0.26473334,0.06615,0.1892,0.18645,1.6010833,-16.493193,-16.320171,-9.626227,-10.193206,116.534904,2654.0,1,2.07521,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.86138785854143,-2.9389731992896326]}"
1_7_0,0.5407952,0.5555724,0.008486442,0.71163213,0.7031457,0.3429,0.059766665,0.15095,0.19025,1.6557246,-14.261951,-14.218425,-8.989405,-8.587433,-0.0,2660.0,1,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.856536956007186,-2.9341222967553873]}"
1_8_0,0.40846553,0.44652405,-0.013169038,0.63254774,0.6457168,0.25246668,0.05435,0.1582,0.1733,1.4757409,-15.873089,-16.924284,-10.843994,-11.46833,-0.0,2660.0,1,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.85626746142195,-2.9338528021701515]}"
1_9_0,0.5839878,0.471139,-0.032985806,0.71067274,0.74365854,0.35745,0.05255,0.2314,0.2339,1.6250588,-13.783222,-14.328313,-6.821917,-8.817104,90.0,1836.0,1,11.899286,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.909088400128176,-2.9489444989433595]}"
