param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,mean_test_score,std_test_score,mean_fit_time,rank_test_score
25,sqrt,1,800,0.7832850283444202,0.013292127863510254,14.65024790763855,1
25,log2,1,800,0.7832850283444202,0.013292127863510254,16.906900930404664,1
,sqrt,1,800,0.7823804956437059,0.014168342006665797,14.811779928207397,3
,log2,1,800,0.7823804956437059,0.014168342006665797,14.767953681945801,3
25,sqrt,1,400,0.7819700796265986,0.01418416268861139,6.974423265457153,5
25,log2,1,400,0.7819700796265986,0.01418416268861139,8.02066912651062,5
,log2,1,400,0.7817582133956972,0.014608234652898709,7.317481899261475,7
,sqrt,1,400,0.7817582133956972,0.014608234652898709,7.03243613243103,7
15,sqrt,1,200,0.7810560902651351,0.011562371641105913,3.0067186832427977,9
15,log2,1,200,0.7810560902651351,0.011562371641105913,3.129153776168823,9
15,sqrt,2,400,0.7809486073777699,0.015090558133948393,6.309274005889892,11
15,log2,2,400,0.7809486073777699,0.015090558133948393,6.442695617675781,11
,sqrt,2,800,0.7807533139594857,0.016815560170596988,13.759961986541748,13
,log2,2,800,0.7807533139594857,0.016815560170596988,13.999370622634888,13
15,sqrt,1,400,0.7805926090578734,0.015149726957245278,6.4368517875671385,15
15,log2,1,400,0.7805926090578734,0.015149726957245278,6.294813919067383,15
15,log2,2,800,0.7804092793719549,0.014572712211880825,13.264318418502807,17
15,sqrt,2,800,0.7804092793719549,0.014572712211880825,13.038996601104737,17
,log2,2,400,0.7802656019404546,0.014439511644376148,7.43134126663208,19
,sqrt,2,400,0.7802656019404546,0.014439511644376148,6.7158520221710205,19
,log2,1,200,0.7801738499792435,0.014079823727120909,3.611903429031372,21
,sqrt,1,200,0.7801738499792435,0.014079823727120909,3.3183459281921386,21
15,sqrt,1,100,0.7801159896806795,0.015201608990074975,1.4961915493011475,23
15,log2,1,100,0.7801159896806795,0.015201608990074975,1.5361563205718993,23
15,sqrt,5,400,0.7797827174435522,0.013844340792559562,6.0559755802154545,25
15,log2,5,400,0.7797827174435522,0.013844340792559562,5.859667587280273,25
25,sqrt,2,800,0.7797092458922978,0.015845450664258486,15.244233798980712,27
25,log2,2,800,0.7797092458922978,0.015845450664258486,20.512566900253297,27
25,log2,2,400,0.7795420955782912,0.014451446592180816,11.094589519500733,29
25,sqrt,2,400,0.7795420955782912,0.014451446592180816,6.778213405609131,29
15,sqrt,1,800,0.7794097131541223,0.013399726515712045,13.482443046569824,31
15,log2,1,800,0.7794097131541223,0.013399726515712045,13.252218103408813,31
,log2,2,200,0.7793837217742133,0.014310664075989857,3.4586527347564697,33
,sqrt,2,200,0.7793837217742133,0.014310664075989857,3.5526954174041747,33
15,sqrt,2,200,0.779361813611829,0.012399095896286285,3.129349613189697,35
15,log2,2,200,0.779361813611829,0.012399095896286285,3.0832393646240233,35
15,sqrt,5,800,0.779307732435307,0.014053752564399542,12.429118585586547,37
15,log2,5,800,0.779307732435307,0.014053752564399542,14.48586301803589,37
25,log2,5,800,0.7792795582459154,0.014135323426351635,11.324487447738647,39
25,sqrt,5,800,0.7792795582459154,0.014135323426351635,13.779947280883789,39
,log2,5,800,0.779178661930025,0.014661112864955724,13.029370164871215,41
,sqrt,5,800,0.779178661930025,0.014661112864955724,13.467085027694703,41
25,log2,2,200,0.7790862346357507,0.013849820241977605,3.6924649238586427,43
25,sqrt,2,200,0.7790862346357507,0.013849820241977605,3.4843239784240723,43
15,log2,5,200,0.7787111629507725,0.017337509272406963,2.9538238048553467,45
15,sqrt,5,200,0.7787111629507725,0.017337509272406963,2.928549957275391,45
25,sqrt,1,100,0.7782617592222647,0.015342435622387277,1.935058832168579,47
25,log2,1,100,0.7782617592222647,0.015342435622387277,1.7314234733581544,47
15,sqrt,2,100,0.7782479983120438,0.01287441595045272,1.4840381622314454,49
15,log2,2,100,0.7782479983120438,0.01287441595045272,1.5039267539978027,49
25,sqrt,1,200,0.7774992667026742,0.014352514963044499,4.211205005645752,51
25,log2,1,200,0.7774992667026742,0.014352514963044499,3.651706027984619,51
,sqrt,1,100,0.776854047070924,0.01492711304227866,1.5527857780456542,53
,log2,1,100,0.776854047070924,0.01492711304227866,1.619356107711792,53
15,sqrt,5,100,0.7768311951646696,0.014875995588874142,1.409102439880371,55
15,log2,5,100,0.7768311951646696,0.014875995588874142,1.4683865070343018,55
,sqrt,2,100,0.7767792598954155,0.012670523513012961,1.715297794342041,57
,log2,2,100,0.7767792598954155,0.012670523513012961,1.6342093467712402,57
10,log2,5,100,0.7758701366785744,0.010726456377036358,1.2444046497344972,59
10,sqrt,5,100,0.7758701366785744,0.010726456377036358,1.5183980464935303,59
,sqrt,5,200,0.775679336740926,0.013113073025205924,3.1575133323669435,61
,log2,5,200,0.775679336740926,0.013113073025205924,3.094017171859741,61
10,sqrt,1,200,0.775439586631932,0.011867724695369028,2.7919496059417725,63
10,log2,1,200,0.775439586631932,0.011867724695369028,2.551815223693848,63
25,sqrt,5,400,0.7754184943049953,0.013712979054243377,6.67485466003418,65
25,log2,5,400,0.7754184943049953,0.013712979054243377,7.811706018447876,65
10,sqrt,1,800,0.7752925178083327,0.01281189058828429,12.301363372802735,67
10,log2,1,800,0.7752925178083327,0.01281189058828429,11.111794805526733,67
,sqrt,5,400,0.7752735260179329,0.014041187437223357,6.369736909866333,69
,log2,5,400,0.7752735260179329,0.014041187437223357,6.302537536621093,69
25,sqrt,5,200,0.7750510513995293,0.013462158656060264,3.5155611515045164,71
25,log2,5,200,0.7750510513995293,0.013462158656060264,5.137834739685059,71
25,sqrt,2,100,0.7748414804729193,0.012185318561370853,1.6862685203552246,73
10,log2,1,400,0.7747566232698737,0.012433478910360639,5.165147209167481,74
10,sqrt,1,400,0.7747566232698737,0.012433478910360639,5.568231868743896,74
25,log2,2,100,0.7747467718050173,0.01224649425359389,1.6456583499908448,76
10,log2,5,400,0.7742712825357454,0.012952117470431257,5.608399963378906,77
10,sqrt,5,400,0.7742712825357454,0.012952117470431257,5.686887788772583,77
10,log2,1,100,0.7736031549293754,0.013060072051126406,1.200592851638794,79
10,sqrt,1,100,0.7736031549293754,0.013060072051126406,1.3689260959625245,79
10,sqrt,2,400,0.7734161626611975,0.010850108464855313,5.386195087432862,81
10,log2,2,400,0.7734161626611975,0.010850108464855313,5.251006031036377,81
10,sqrt,5,800,0.7732502599144268,0.014416854807842107,10.933383131027222,83
10,log2,5,800,0.7732502599144268,0.014416854807842107,11.03733196258545,83
10,log2,5,200,0.7732130504456837,0.01336103229666539,2.5805119037628175,85
10,sqrt,5,200,0.7732130504456837,0.01336103229666539,2.878508996963501,85
,log2,5,100,0.7727307887969803,0.013595577183880833,1.5271520137786865,87
,sqrt,5,100,0.7727307887969803,0.013595577183880833,1.5348374366760253,87
10,log2,2,200,0.7726762233819295,0.010990984728447978,2.595205879211426,89
10,sqrt,2,200,0.7726762233819295,0.010990984728447978,2.7898726940155028,89
10,sqrt,2,800,0.7723336100076255,0.012975219481455306,11.851775646209717,91
10,log2,2,800,0.7723336100076255,0.012975219481455306,11.072043991088867,91
25,sqrt,5,100,0.7717003368807476,0.013816425130333055,1.748567771911621,93
25,log2,5,100,0.7717003368807476,0.013816425130333055,1.8663440227508545,93
10,sqrt,2,100,0.7711442767519064,0.012404244630951505,1.5649160385131835,95
10,log2,2,100,0.7711442767519064,0.012404244630951505,1.2698843479156494,95
