Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1783117137,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1783117138,5,,Aggregated,0.000000,0.000000,84,85,85,98,150,150,150,150,150,150,150,10,0,23,58.37436679939856,6.5954169986071065,150.08704099454917,53717.0
1783117139,10,,Aggregated,0.000000,0.000000,23,76,84,85,98,150,150,150,150,150,150,21,0,23,49.9542540949603,1.450792005925905,150.08704099454917,36837.04761904762
1783117140,15,,Aggregated,0.000000,0.000000,46,79,85,98,140,150,210,210,210,210,210,38,0,46,59.17139373712799,1.450792005925905,205.66900000267196,53126.39473684211
1783117141,20,,Aggregated,10.000000,0.000000,39,77,84,85,130,150,150,210,210,210,210,51,0,39,54.60776888232395,1.450792005925905,205.66900000267196,59803.96078431373
1783117142,25,,Aggregated,12.666667,0.000000,30,74,79,85,150,200,210,270,270,270,270,76,0,29,54.33247431564699,1.450792005925905,270.77079100126866,74032.59210526316
1783117143,30,,Aggregated,12.750000,0.000000,31,74,85,98,150,200,250,270,270,270,270,96,0,31,56.098158072700244,1.450792005925905,270.77079100126866,77158.84375
1783117144,35,,Aggregated,14.600000,0.000000,38,78,100,130,210,270,340,340,800,800,800,111,1,38,79.43689347729077,1.450792005925905,797.8625840041786,73125.46846846846
1783117145,40,,Aggregated,15.666667,0.000000,39,85,140,200,290,360,460,540,800,800,800,146,1,38,99.37988989024657,1.450792005925905,797.8625840041786,77351.7397260274
1783117146,45,,Aggregated,15.571429,0.142857,30,76,100,140,250,340,460,540,800,800,800,178,1,29,85.21375986523442,1.450792005925905,797.8625840041786,80556.71348314607
1783117147,50,,Aggregated,17.875000,0.125000,20,71,85,130,230,340,450,460,800,800,800,209,1,20,75.21319479425884,1.2222079967614263,797.8625840041786,79379.66028708134
1783117148,50,,Aggregated,19.222222,0.111111,12,46,78,100,220,330,450,460,800,800,800,237,1,12,67.13739857805808,1.2222079967614263,797.8625840041786,82849.70042194093
1783117149,50,,Aggregated,19.900000,0.100000,10,32,74,84,210,300,400,460,800,800,800,269,1,10,60.132811814214435,1.2222079967614263,797.8625840041786,86151.45724907063
1783117150,50,,Aggregated,22.000000,0.100000,8,27,68,78,200,290,400,460,800,800,800,295,1,8,55.453475298393535,1.2222079967614263,797.8625840041786,88667.41355932203
1783117151,50,,Aggregated,24.000000,0.100000,8,20,46,76,150,250,380,460,800,800,800,322,1,8,51.48573487592403,1.2222079967614263,797.8625840041786,91091.26397515528
1783117152,50,,Aggregated,25.200000,0.100000,8,16,38,74,150,250,380,460,800,800,800,344,1,8,48.534495296650654,1.2222079967614263,797.8625840041786,92180.76744186046
1783117153,50,,Aggregated,26.400000,0.100000,7,13,33,68,140,240,360,460,800,800,800,367,1,7,45.84409437071417,1.2222079967614263,797.8625840041786,91429.56403269754
1783117154,50,,Aggregated,26.700000,0.100000,8,13,29,53,130,230,360,460,800,800,800,397,1,8,43.25323712354675,1.2222079967614263,797.8625840041786,92623.62720403023
1783117155,50,,Aggregated,26.800000,0.100000,7,13,27,41,130,230,340,450,800,800,800,419,1,7,41.367414515599,1.2222079967614263,797.8625840041786,91443.14081145584
1783117156,50,,Aggregated,28.100000,0.000000,8,13,23,38,110,220,340,450,800,800,800,442,1,8,39.956166228620944,1.2222079967614263,797.8625840041786,91973.43665158372
1783117157,50,,Aggregated,27.100000,0.000000,8,13,22,35,100,220,340,450,800,800,800,470,1,8,38.248954185218416,1.2222079967614263,797.8625840041786,92564.33617021277
1783117158,50,,Aggregated,26.300000,0.000000,8,12,20,31,98,210,340,450,800,800,800,489,1,8,36.959991149415295,1.2222079967614263,797.8625840041786,92079.0654396728
1783117159,50,,Aggregated,26.300000,0.000000,7,11,18,29,85,210,340,400,800,800,800,518,1,7,35.22804868160333,1.2222079967614263,797.8625840041786,94045.65057915058
1783117160,50,,Aggregated,25.200000,0.000000,7,11,16,28,84,210,340,400,800,800,800,538,1,7,34.22451240347742,1.2222079967614263,797.8625840041786,95490.97211895911
1783117161,50,,Aggregated,25.100000,0.000000,7,11,16,24,78,200,330,400,800,800,800,562,1,7,32.990932318614384,1.2222079967614263,797.8625840041786,95720.75800711743
